Axis Count Time
T 31647 03601
T 31646 03604
T 31645 03607
T 31644 03610
T 31643 03614
T 31642 03617
T 31641 03620
T 31640 03623
T 31639 03626
T 31638 03630
T 31637 03633
T 31636 03636
T 31635 03639
T 31634 03642
T 31633 03645
T 31632 03649
T 31631 03652
T 31630 03655
T 31629 03658
T 31628 03661
T 31627 03664
T 31626 03668
T 31625 03671
T 31624 03674
T 31623 03677
T 31622 03681
T 31621 03684
T 31620 03687
T 31619 03690
T 31618 03693
T 31617 03696
T 31616 03700
T 31615 03703
T 31614 03706
T 31613 03709
T 31612 03712
T 31611 03715
T 31610 03719
T 31609 03722
T 31608 03725
T 31607 03728
T 31606 03731
T 31605 03735
T 31604 03738
T 31603 03741
T 31602 03744
T 31601 03748
T 31600 03751
T 31599 03754
T 31598 03757
T 31597 03761
T 31596 03764
T 31595 03767
T 31594 03770
T 31593 03774
T 31592 03777
T 31591 03780
T 31590 03783
T 31589 03786
T 31588 03790
T 31587 03793
T 31586 03796
T 31585 03799
T 31584 03803
T 31583 03806
T 31582 03809
T 31581 03812
T 31580 03816
T 31579 03819
T 31578 03822
T 31577 03825
T 31576 03829
T 31575 03832
T 31574 03835
T 31573 03838
T 31572 03842
T 31571 03845
T 31570 03848
T 31569 03851
T 31568 03855
T 31567 03858
T 31566 03861
T 31565 03864
T 31564 03868
T 31563 03871
T 31562 03874
T 31561 03877
T 31560 03881
T 31559 03884
T 31558 03887
T 31557 03890
T 31556 03894
T 31555 03897
T 31554 03900
T 31553 03904
T 31552 03907
T 31551 03910
T 31550 03913
T 31549 03916
T 31548 03920
T 31547 03923
T 31546 03926
T 31545 03929
T 31544 03932
T 31543 03936
T 31542 03939
T 31541 03942
T 31540 03945
T 31539 03949
T 31538 03952
T 31537 03955
T 31536 03958
T 31535 03962
T 31534 03965
T 31533 03968
T 31532 03971
T 31531 03974
T 31530 03978
T 31529 03981
T 31528 03984
T 31527 03987
T 31526 03991
T 31525 03994
T 31524 03997
T 31523 04000
T 31522 04004
T 31521 04007
T 31520 04010
T 31519 04013
T 31518 04017
T 31517 04020
T 31516 04023
T 31515 04026
T 31514 04030
T 31513 04033
T 31512 04036
T 31511 04039
T 31510 04042
T 31509 04046
T 31508 04049
T 31507 04052
T 31506 04055
T 31505 04058
T 31504 04062
T 31503 04065
T 31502 04068
T 31501 04071
T 31500 04074
T 31499 04078
T 31498 04081
T 31497 04084
T 31496 04087
T 31495 04091
T 31494 04094
T 31493 04097
T 31492 04100
T 31491 04104
T 31490 04107
T 31489 04110
T 31488 04113
T 31487 04116
T 31486 04120
T 31485 04123
T 31484 04126
T 31483 04129
T 31482 04132
T 31481 04136
T 31480 04139
T 31479 04142
T 31478 04145
T 31477 04148
T 31476 04151
T 31475 04155
T 31474 04158
T 31473 04161
T 31472 04164
T 31471 04167
T 31470 04170
T 31469 04174
T 31468 04177
T 31467 04180
T 31466 04183
T 31465 04186
T 31464 04190
T 31463 04193
T 31462 04196
T 31461 04199
T 31460 04202
T 31459 04205
T 31458 04208
T 31457 04212
T 31456 04215
T 31455 04218
T 31454 04221
T 31453 04224
T 31452 04227
T 31451 04231
T 31450 04234
T 31449 04237
T 31448 04240
T 31447 04243
T 31446 04246
T 31445 04249
T 31444 04253
T 31443 04256
T 31442 04259
T 31441 04262
T 31440 04265
T 31439 04268
T 31438 04271
T 31437 04275
T 31436 04278
T 31435 04281
T 31434 04284
T 31433 04287
T 31432 04290
T 31431 04294
T 31430 04297
T 31429 04300
T 31428 04303
T 31427 04306
T 31426 04309
T 31425 04312
T 31424 04315
T 31423 04319
T 31422 04322
T 31421 04325
T 31420 04328
T 31419 04331
T 31418 04334
T 31417 04337
T 31416 04341
T 31415 04344
T 31414 04347
T 31413 04350
T 31412 04353
T 31411 04356
T 31410 04360
T 31409 04363
T 31408 04366
T 31407 04369
T 31406 04372
T 31405 04375
T 31404 04378
T 31403 04382
T 31402 04385
T 31401 04388
T 31400 04391
T 31399 04394
T 31398 04397
T 31397 04400
T 31396 04404
T 31395 04407
T 31394 04410
T 31393 04413
T 31392 04416
T 31391 04419
T 31390 04422
T 31389 04426
T 31388 04429
T 31387 04432
T 31386 04435
T 31385 04438
T 31384 04441
T 31383 04444
T 31382 04447
T 31381 04451
T 31380 04454
T 31379 04457
T 31378 04460
T 31377 04463
T 31376 04466
T 31375 04469
T 31374 04473
T 31373 04476
T 31372 04479
T 31371 04482
T 31370 04485
T 31369 04488
T 31368 04492
T 31367 04495
T 31366 04498
T 31365 04501
T 31364 04504
T 31363 04507
T 31362 04510
T 31361 04513
T 31360 04516
T 31359 04520
T 31358 04523
T 31357 04526
T 31356 04529
T 31355 04532
T 31354 04535
T 31353 04538
T 31352 04541
T 31351 04545
T 31350 04548
T 31349 04551
T 31348 04554
T 31347 04557
T 31346 04560
T 31345 04563
T 31344 04567
T 31343 04570
T 31342 04573
T 31341 04576
T 31340 04579
T 31339 04582
T 31338 04585
T 31337 04589
T 31336 04592
T 31335 04595
T 31334 04598
T 31333 04601
T 31332 04604
T 31331 04607
T 31330 04611
T 31329 04614
T 31328 04617
T 31327 04620
T 31326 04623
T 31325 04626
T 31324 04629
T 31323 04633
T 31322 04636
T 31321 04639
T 31320 04642
T 31319 04645
T 31318 04648
T 31317 04652
T 31316 04655
T 31315 04658
T 31314 04661
T 31313 04664
T 31312 04667
T 31311 04671
T 31310 04674
T 31309 04677
T 31308 04680
T 31307 04683
T 31306 04686
T 31305 04690
T 31304 04693
T 31303 04696
T 31302 04699
T 31301 04702
T 31300 04705
T 31299 04709
T 31298 04712
T 31297 04715
T 31296 04718
T 31295 04721
T 31294 04724
T 31293 04728
T 31292 04731
T 31291 04734
T 31290 04737
T 31289 04740
T 31288 04743
T 31287 04747
T 31286 04750
T 31285 04753
T 31284 04756
T 31283 04759
T 31282 04762
T 31281 04765
T 31280 04768
T 31279 04771
T 31278 04775
T 31277 04778
T 31276 04781
T 31275 04784
T 31274 04787
T 31273 04790
T 31272 04793
T 31271 04797
T 31270 04800
T 31269 04803
T 31268 04806
T 31267 04809
T 31266 04812
T 31265 04816
T 31264 04819
T 31263 04822
T 31262 04825
T 31261 04828
T 31260 04831
T 31259 04835
T 31258 04838
T 31257 04841
T 31256 04844
T 31255 04847
T 31254 04850
T 31253 04853
T 31252 04856
T 31251 04860
T 31250 04863
T 31249 04866
T 31248 04869
T 31247 04872
T 31246 04875
T 31245 04878
T 31244 04882
T 31243 04885
T 31242 04888
T 31241 04891
T 31240 04894
T 31239 04898
T 31238 04901
T 31237 04904
T 31236 04907
T 31235 04910
T 31234 04913
T 31233 04917
T 31232 04920
T 31231 04923
T 31230 04926
T 31229 04929
T 31228 04932
T 31227 04936
T 31226 04939
T 31225 04942
T 31224 04945
T 31223 04948
T 31222 04952
T 31221 04955
T 31220 04958
T 31219 04961
T 31218 04964
T 31217 04968
T 31216 04971
T 31215 04974
T 31214 04977
T 31213 04980
T 31212 04984
T 31211 04987
T 31210 04990
T 31209 04993
T 31208 04996
T 31207 04999
T 31206 05003
T 31205 05006
T 31204 05009
T 31203 05012
T 31202 05015
T 31201 05018
T 31200 05022
T 31199 05025
T 31198 05028
T 31197 05031
T 31196 05034
T 31195 05038
T 31194 05041
T 31193 05044
T 31192 05047
T 31191 05050
T 31190 05054
T 31189 05057
T 31188 05060
T 31187 05063
T 31186 05066
T 31185 05070
T 31184 05073
T 31183 05076
T 31182 05079
T 31181 05082
T 31180 05085
T 31179 05089
T 31178 05092
T 31177 05095
T 31176 05098
T 31175 05102
T 31174 05105
T 31173 05108
T 31172 05111
T 31171 05114
T 31170 05118
T 31169 05121
T 31168 05124
T 31167 05127
T 31166 05130
T 31165 05133
T 31164 05137
T 31163 05140
T 31162 05143
T 31161 05146
T 31160 05149
T 31159 05152
T 31158 05156
T 31157 05159
T 31156 05162
T 31155 05165
T 31154 05169
T 31153 05172
T 31152 05175
T 31151 05178
T 31150 05182
T 31149 05185
T 31148 05188
T 31147 05191
T 31146 05195
T 31145 05198
T 31144 05201
T 31143 05204
T 31142 05207
T 31141 05211
T 31140 05214
T 31139 05217
T 31138 05220
T 31137 05224
T 31136 05227
T 31135 05230
T 31134 05233
T 31133 05237
T 31132 05240
T 31131 05243
T 31130 05246
T 31129 05250
T 31128 05253
T 31127 05256
T 31126 05259
T 31125 05263
T 31124 05266
T 31123 05269
T 31122 05273
T 31121 05276
T 31120 05279
T 31119 05282
T 31118 05285
T 31117 05289
T 31116 05292
T 31115 05295
T 31114 05298
T 31113 05302
T 31112 05305
T 31111 05308
T 31110 05312
T 31109 05315
T 31108 05318
T 31107 05321
T 31106 05325
T 31105 05328
T 31104 05331
T 31103 05334
T 31102 05338
T 31101 05341
T 31100 05344
T 31099 05347
T 31098 05351
T 31097 05354
T 31096 05357
T 31095 05360
T 31094 05363
T 31093 05367
T 31092 05370
T 31091 05373
T 31090 05376
T 31089 05380
T 31088 05383
T 31087 05386
T 31086 05389
T 31085 05393
T 31084 05396
T 31083 05399
T 31082 05402
T 31081 05406
T 31080 05409
T 31079 05412
T 31078 05415
T 31077 05419
T 31076 05422
T 31075 05425
T 31074 05428
T 31073 05432
T 31072 05435
T 31071 05438
T 31070 05441
T 31069 05445
T 31068 05448
T 31067 05451
T 31066 05454
T 31065 05458
T 31064 05461
T 31063 05464
T 31062 05467
T 31061 05470
T 31060 05474
T 31059 05477
T 31058 05480
T 31057 05483
T 31056 05487
T 31055 05490
T 31054 05493
T 31053 05496
T 31052 05499
T 31051 05502
T 31050 05506
T 31049 05509
T 31048 05512
T 31047 05515
T 31046 05519
T 31045 05522
T 31044 05525
T 31043 05528
T 31042 05531
T 31041 05535
T 31040 05538
T 31039 05541
T 31038 05544
T 31037 05548
T 31036 05551
T 31035 05554
T 31034 05557
T 31033 05560
T 31032 05564
T 31031 05567
T 31030 05570
T 31029 05573
T 31028 05576
T 31027 05579
T 31026 05583
T 31025 05586
T 31024 05589
